TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
3451,349,124,76,0.88175,0.38,0.908157894736842,0.644078947368421,0.17882352941176471,0.2432,0.8061546052631577,0.2095791335568781,0.5,0.05,2,lgb,lgb_weight
3426,374,114,86,0.878,0.43,0.901578947368421,0.6657894736842105,0.18695652173913044,0.2606060606060606,0.8149927631578947,0.20232626338772522,0.5,0.05,2,lgb,lgb_focal
2741,1059,39,161,0.7255,0.805,0.7213157894736842,0.7631578947368421,0.1319672131147541,0.2267605633802817,0.8286493421052632,0.2245087542360143,0.028039889484236784,0.05,2,lgb,lgb_threshold
2834,966,58,142,0.744,0.71,0.7457894736842106,0.7278947368421053,0.12815884476534295,0.2171253822629969,0.7992657894736843,0.20803453796302615,0.5,0.05,3,logreg,focal
3781,19,192,8,0.94725,0.04,0.995,0.5175,0.2962962962962963,0.07048458149779736,0.7563657894736843,0.16259929628981837,0.5,0.05,3,lgb,lgb_default
3427,373,139,61,0.872,0.305,0.9018421052631579,0.603421052631579,0.14055299539170507,0.19242902208201892,0.7213973684210526,0.13586650435822958,0.5,0.05,3,lgb,lgb_weight
3419,381,131,69,0.872,0.345,0.8997368421052632,0.6223684210526316,0.15333333333333332,0.21230769230769228,0.7451499999999999,0.17036284368235963,0.5,0.05,3,lgb,lgb_focal
2602,1198,58,142,0.686,0.71,0.6847368421052632,0.6973684210526316,0.10597014925373134,0.1844155844155844,0.7563657894736843,0.16259929628981837,0.021711551917506306,0.05,3,lgb,lgb_threshold
2903,897,46,154,0.76425,0.77,0.7639473684210526,0.7669736842105264,0.14652711703139867,0.24620303756994405,0.8398447368421053,0.23819915259273847,0.5,0.05,4,logreg,focal
3774,26,189,11,0.94625,0.055,0.9931578947368421,0.5240789473684211,0.2972972972972973,0.09282700421940927,0.7984480263157896,0.17088246728025253,0.5,0.05,4,lgb,lgb_default
3440,360,132,68,0.877,0.34,0.9052631578947369,0.6226315789473684,0.1588785046728972,0.21656050955414013,0.7820914473684212,0.16161217831402638,0.5,0.05,4,lgb,lgb_weight
3422,378,124,76,0.8745,0.38,0.9005263157894737,0.6402631578947369,0.16740088105726872,0.23241590214067276,0.7941914473684211,0.16663448570737552,0.5,0.05,4,lgb,lgb_focal
2668,1132,48,152,0.705,0.76,0.7021052631578948,0.7310526315789474,0.11838006230529595,0.20485175202156336,0.7984480263157896,0.17088246728025253,0.021820987060513834,0.05,4,lgb,lgb_threshold
2900,900,48,152,0.763,0.76,0.7631578947368421,0.7615789473684211,0.1444866920152091,0.24281150159744405,0.8272539473684212,0.21596405878072064,0.5,0.05,5,logreg,focal
3772,28,184,16,0.947,0.08,0.9926315789473684,0.5363157894736842,0.36363636363636365,0.13114754098360654,0.7731710526315788,0.18354174304688778,0.5,0.05,5,lgb,lgb_default
3459,341,127,73,0.883,0.365,0.9102631578947369,0.6376315789473684,0.17632850241545894,0.23778501628664497,0.7587539473684211,0.168965711477917,0.5,0.05,5,lgb,lgb_weight
3397,403,127,73,0.8675,0.365,0.8939473684210526,0.6294736842105263,0.15336134453781514,0.21597633136094674,0.7562657894736842,0.15454087866159755,0.5,0.05,5,lgb,lgb_focal
2294,1506,41,159,0.61325,0.795,0.6036842105263158,0.6993421052631579,0.09549549549549549,0.17050938337801608,0.7731710526315788,0.18354174304688778,0.01309202504150348,0.05,5,lgb,lgb_threshold
2887,913,52,148,0.75875,0.74,0.7597368421052632,0.7498684210526316,0.13949104618284638,0.23473433782712136,0.813557894736842,0.24761431006364473,0.5,0.05,6,logreg,focal
3781,19,190,10,0.94775,0.05,0.995,0.5225,0.3448275862068966,0.08733624454148473,0.7782598684210527,0.2002867009602601,0.5,0.05,6,lgb,lgb_default
3464,336,128,72,0.884,0.36,0.911578947368421,0.6357894736842105,0.17647058823529413,0.2368421052631579,0.741725,0.17763263245332828,0.5,0.05,6,lgb,lgb_weight
3480,320,125,75,0.88875,0.375,0.9157894736842105,0.6453947368421052,0.189873417721519,0.25210084033613445,0.7573749999999999,0.18541979585920315,0.5,0.05,6,lgb,lgb_focal
2476,1324,38,162,0.6595,0.81,0.651578947368421,0.7307894736842105,0.10901749663526245,0.19217081850533807,0.7782598684210527,0.2002867009602601,0.018032730534703258,0.05,6,lgb,lgb_threshold
2901,899,43,157,0.7645,0.785,0.763421052631579,0.7742105263157895,0.14867424242424243,0.25,0.8416684210526316,0.2585379393385703,0.5,0.05,7,logreg,focal
3774,26,187,13,0.94675,0.065,0.9931578947368421,0.5290789473684211,0.3333333333333333,0.1087866108786611,0.7938486842105263,0.20163987866792746,0.5,0.05,7,lgb,lgb_default
3469,331,122,78,0.88675,0.39,0.9128947368421053,0.6514473684210527,0.19070904645476772,0.25615763546798026,0.778725,0.1823559741994863,0.5,0.05,7,lgb,lgb_weight
3426,374,119,81,0.87675,0.405,0.901578947368421,0.6532894736842105,0.17802197802197803,0.24732824427480915,0.7848197368421053,0.19406685734153176,0.5,0.05,7,lgb,lgb_focal
2926,874,62,138,0.766,0.69,0.77,0.73,0.13636363636363635,0.2277227722772277,0.7938486842105263,0.20163987866792746,0.032562508827849265,0.05,7,lgb,lgb_threshold
2896,904,43,157,0.76325,0.785,0.7621052631578947,0.7735526315789474,0.14797360980207352,0.24900872323552736,0.8446644736842106,0.26024220912397816,0.5,0.05,8,logreg,focal
3778,22,185,15,0.94825,0.075,0.9942105263157894,0.5346052631578947,0.40540540540540543,0.12658227848101267,0.8041513157894737,0.20071056751645086,0.5,0.05,8,lgb,lgb_default
3457,343,127,73,0.8825,0.365,0.9097368421052632,0.6373684210526316,0.17548076923076922,0.23701298701298704,0.7894217105263158,0.19787932689067983,0.5,0.05,8,lgb,lgb_weight
3458,342,122,78,0.884,0.39,0.91,0.65,0.18571428571428572,0.2516129032258065,0.8053513157894736,0.20321816249860883,0.5,0.05,8,lgb,lgb_focal
2548,1252,46,154,0.6755,0.77,0.6705263157894736,0.7202631578947368,0.10953058321479374,0.1917808219178082,0.8041513157894737,0.20071056751645086,0.02046139827471117,0.05,8,lgb,lgb_threshold
2852,948,42,158,0.7525,0.79,0.7505263157894737,0.7702631578947369,0.14285714285714285,0.24196018376722817,0.8467598684210527,0.27933686299546784,0.5,0.05,9,logreg,focal
3776,24,189,11,0.94675,0.055,0.9936842105263158,0.5243421052631579,0.3142857142857143,0.09361702127659575,0.8073269736842105,0.19924925656782302,0.5,0.05,9,lgb,lgb_default
3467,333,124,76,0.88575,0.38,0.9123684210526316,0.6461842105263158,0.18581907090464547,0.24958949096880131,0.7931480263157893,0.1910418174236716,0.5,0.05,9,lgb,lgb_weight
3431,369,116,84,0.87875,0.42,0.9028947368421053,0.6614473684210527,0.18543046357615894,0.2572741194486983,0.7863624999999999,0.19740822327333044,0.5,0.05,9,lgb,lgb_focal
2619,1181,46,154,0.69325,0.77,0.6892105263157895,0.7296052631578948,0.11535580524344569,0.2006514657980456,0.8073269736842105,0.19924925656782302,0.021953070800042458,0.05,9,lgb,lgb_threshold
2675,925,70,330,0.75125,0.825,0.7430555555555556,0.7840277777777778,0.26294820717131473,0.39879154078549844,0.8521166666666666,0.3823517116543932,0.5,0.1,0,logreg,focal
3532,68,340,60,0.898,0.15,0.9811111111111112,0.5655555555555556,0.46875,0.22727272727272727,0.8239326388888889,0.3324177755477195,0.5,0.1,0,lgb,lgb_default
2972,628,159,241,0.80325,0.6025,0.8255555555555556,0.7140277777777778,0.2773302646720368,0.3798266351457841,0.8112927083333333,0.3302810294921276,0.5,0.1,0,lgb,lgb_weight
2952,648,154,246,0.7995,0.615,0.82,0.7175,0.2751677852348993,0.38021638330757346,0.8187635416666668,0.3311449257076748,0.5,0.1,0,lgb,lgb_focal
2524,1076,89,311,0.70875,0.7775,0.7011111111111111,0.7393055555555555,0.22422494592645997,0.3480693900391718,0.8239326388888889,0.3324177755477195,0.07521071943408791,0.1,0,lgb,lgb_threshold
2699,901,74,326,0.75625,0.815,0.7497222222222222,0.7823611111111111,0.2656886715566422,0.4007375537799631,0.8530697916666666,0.40322223724122175,0.5,0.1,1,logreg,focal
3532,68,333,67,0.89975,0.1675,0.9811111111111112,0.5743055555555556,0.4962962962962963,0.2504672897196262,0.8121642361111111,0.3346551908022133,0.5,0.1,1,lgb,lgb_default
3017,583,163,237,0.8135,0.5925,0.8380555555555556,0.7152777777777778,0.2890243902439024,0.3885245901639344,0.8147239583333332,0.33987316310302024,0.5,0.1,1,lgb,lgb_weight
2994,606,154,246,0.81,0.615,0.8316666666666667,0.7233333333333334,0.2887323943661972,0.3929712460063898,0.8173402777777776,0.3564399160945026,0.5,0.1,1,lgb,lgb_focal
2509,1091,81,319,0.707,0.7975,0.6969444444444445,0.7472222222222222,0.22624113475177304,0.35248618784530383,0.8121642361111111,0.3346551908022133,0.06580140750647175,0.1,1,lgb,lgb_threshold
2676,924,90,310,0.7465,0.775,0.7433333333333333,0.7591666666666667,0.25121555915721233,0.37943696450428394,0.8363024305555555,0.4086533087246395,0.5,0.1,2,logreg,focal
3535,65,343,57,0.898,0.1425,0.9819444444444444,0.5622222222222222,0.4672131147540984,0.21839080459770113,0.7988614583333333,0.3283364034206406,0.5,0.1,2,lgb,lgb_default
3032,568,184,216,0.812,0.54,0.8422222222222222,0.6911111111111111,0.2755102040816326,0.36486486486486486,0.7917760416666666,0.3326474527196007,0.5,0.1,2,lgb,lgb_weight
2997,603,171,229,0.8065,0.5725,0.8325,0.7025,0.27524038461538464,0.3717532467532468,0.7833826388888889,0.31080997266038646,0.5,0.1,2,lgb,lgb_focal
2564,1036,101,299,0.71575,0.7475,0.7122222222222222,0.7298611111111111,0.22397003745318353,0.3446685878962536,0.7988614583333333,0.3283364034206406,0.07384093233693369,0.1,2,lgb,lgb_threshold
2712,888,74,326,0.7595,0.815,0.7533333333333333,0.7841666666666667,0.2685337726523888,0.40396530359355637,0.8551375000000001,0.4315482116693025,0.5,0.1,3,logreg,focal
