TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,dataset,prevalence,seed,model,strategy
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.7474553571428572,0.049088339331697345,0.5,cardio,0.02,2,rf,default
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7302885841836735,0.04984853973626733,0.5,cardio,0.02,2,rf,weight
2799,1121,21,59,0.7145,0.7375,0.7140306122448979,0.7257653061224489,0.05,0.09365079365079365,0.7919228316326531,0.06793358963637637,0.5,cardio,0.02,2,rf,undersample
3845,75,79,1,0.9615,0.0125,0.9808673469387755,0.49668367346938774,0.013157894736842105,0.01282051282051282,0.7041151147959184,0.0354037869098601,0.5,cardio,0.02,2,rf,smote
2101,1819,12,68,0.54225,0.85,0.5359693877551021,0.692984693877551,0.036036036036036036,0.06914082358922218,0.7474553571428572,0.049088339331697345,0.006666666666666667,cardio,0.02,2,rf,threshold
2791,1129,24,56,0.71175,0.7,0.7119897959183673,0.7059948979591837,0.04725738396624472,0.08853754940711461,0.7302885841836735,0.04984853973626733,0.016666666666666666,cardio,0.02,2,rf,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.8024633290816326,0.06688640733993102,0.5,cardio,0.02,2,hgb,default
3258,662,32,48,0.8265,0.6,0.8311224489795919,0.715561224489796,0.0676056338028169,0.12151898734177213,0.7704942602040817,0.06862999974381209,0.5,cardio,0.02,2,hgb,weight
2671,1249,22,58,0.68225,0.725,0.6813775510204082,0.7031887755102041,0.04437643458301454,0.08363374188896901,0.751390306122449,0.058568005485918756,0.5,cardio,0.02,2,hgb,undersample
3844,76,77,3,0.96175,0.0375,0.9806122448979592,0.5090561224489796,0.0379746835443038,0.03773584905660377,0.69359375,0.038445912009683246,0.5,cardio,0.02,2,hgb,smote
2758,1162,17,63,0.70525,0.7875,0.7035714285714286,0.7455357142857143,0.05142857142857143,0.09655172413793105,0.8024633290816326,0.06688640733993102,0.016453062982144336,cardio,0.02,2,hgb,threshold
3429,491,38,42,0.86775,0.525,0.8747448979591836,0.6998724489795918,0.07879924953095685,0.1370309951060359,0.7704942602040817,0.06862999974381209,0.5586517175080983,cardio,0.02,2,hgb,weight+threshold
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.7965593112244898,0.07626621482064223,0.5,cardio,0.02,3,logreg,default
3034,886,23,57,0.77275,0.7125,0.7739795918367347,0.7432397959183674,0.060445387062566275,0.11143695014662756,0.7981951530612246,0.07815923670927234,0.5,cardio,0.02,3,logreg,weight
2932,988,21,59,0.74775,0.7375,0.7479591836734694,0.7427295918367347,0.05635148042024833,0.1047027506654836,0.7976977040816327,0.07258903475810566,0.5,cardio,0.02,3,logreg,undersample
3011,909,22,58,0.76725,0.725,0.7681122448979592,0.7465561224489796,0.05997931747673216,0.11079274116523401,0.797311862244898,0.07831986068539713,0.5,cardio,0.02,3,logreg,smote
2631,1289,15,65,0.674,0.8125,0.6711734693877551,0.7418367346938776,0.048005908419497784,0.09065550906555091,0.7965593112244898,0.07626621482064223,0.01675043936995778,cardio,0.02,3,logreg,threshold
2536,1384,15,65,0.65025,0.8125,0.6469387755102041,0.729719387755102,0.04485852311939269,0.08502289077828647,0.7981951530612246,0.07815923670927234,0.41019948582492843,cardio,0.02,3,logreg,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7405883290816326,0.06711164217077885,0.5,cardio,0.02,3,rf,default
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.723625637755102,0.06685116433695637,0.5,cardio,0.02,3,rf,weight
2815,1105,26,54,0.71725,0.675,0.7181122448979592,0.6965561224489796,0.04659188955996549,0.08716707021791767,0.7543383290816326,0.06740718706031175,0.5,cardio,0.02,3,rf,undersample
3837,83,73,7,0.961,0.0875,0.9788265306122449,0.5331632653061225,0.07777777777777778,0.08235294117647059,0.7423453443877551,0.05849394893020968,0.5,cardio,0.02,3,rf,smote
2385,1535,21,59,0.611,0.7375,0.6084183673469388,0.6729591836734694,0.0370138017565872,0.07048984468339307,0.7405883290816326,0.06711164217077885,0.01,cardio,0.02,3,rf,threshold
2964,956,31,49,0.75325,0.6125,0.7561224489795918,0.684311224489796,0.04875621890547264,0.09032258064516129,0.723625637755102,0.06685116433695637,0.02,cardio,0.02,3,rf,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7551578443877551,0.06249615836762848,0.5,cardio,0.02,3,hgb,default
3238,682,36,44,0.8205,0.55,0.8260204081632653,0.6880102040816327,0.06060606060606061,0.10918114143920597,0.7423007015306122,0.06284756137048335,0.5,cardio,0.02,3,hgb,weight
