TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
2622,1298,21,59,0.67025,0.7375,0.6688775510204081,0.7031887755102041,0.043478260869565216,0.08211551844119694,0.7894786352040817,0.09723406554199641,0.013333333333333334,0.02,2,rf,threshold
2975,945,28,52,0.75675,0.65,0.7589285714285714,0.7044642857142858,0.05215646940822467,0.09656453110492107,0.7838137755102041,0.09826724851951313,0.023333333333333334,0.02,2,rf,weight+threshold
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.8108354591836735,0.08896554939963879,0.5,0.02,2,hgb,default
3193,727,31,49,0.8105,0.6125,0.8145408163265306,0.7135204081632653,0.06314432989690721,0.11448598130841121,0.8277248086734694,0.10088554915754801,0.5,0.02,2,hgb,weight
2734,1186,14,66,0.7,0.825,0.6974489795918367,0.7612244897959184,0.052715654952076675,0.09909909909909909,0.8394595025510204,0.08609794472941648,0.5,0.02,2,hgb,undersample
3906,14,76,4,0.9775,0.05,0.9964285714285714,0.5232142857142857,0.2222222222222222,0.0816326530612245,0.8070471938775512,0.09927772872388085,0.5,0.02,2,hgb,smote
2315,1605,14,66,0.59525,0.825,0.5905612244897959,0.707780612244898,0.03949730700179533,0.07538549400342662,0.8108354591836735,0.08896554939963879,0.009992826649761227,0.02,2,hgb,threshold
2707,1213,18,62,0.69225,0.775,0.690561224489796,0.732780612244898,0.04862745098039216,0.0915129151291513,0.8277248086734694,0.10088554915754801,0.350145743665344,0.02,2,hgb,weight+threshold
3920,0,79,1,0.98025,0.0125,1.0,0.50625,1.0,0.02469135802469136,0.790172193877551,0.10262962635716592,0.5,0.02,3,logreg,default
2950,970,24,56,0.7515,0.7,0.7525510204081632,0.7262755102040817,0.05458089668615984,0.10126582278481011,0.7910618622448979,0.10667399197942963,0.5,0.02,3,logreg,weight
2776,1144,27,53,0.70725,0.6625,0.7081632653061225,0.6853316326530612,0.04427736006683375,0.08300704776820673,0.7552806122448981,0.05849599762337065,0.5,0.02,3,logreg,undersample
3014,906,29,51,0.76625,0.6375,0.7688775510204081,0.703188775510204,0.05329153605015674,0.09836065573770493,0.7730548469387755,0.0927458648002349,0.5,0.02,3,logreg,smote
2852,1068,23,57,0.72725,0.7125,0.7275510204081632,0.7200255102040816,0.050666666666666665,0.0946058091286307,0.790172193877551,0.10262962635716592,0.018697813091565516,0.02,3,logreg,threshold
3209,711,35,45,0.8135,0.5625,0.8186224489795918,0.6905612244897958,0.05952380952380952,0.10765550239234449,0.7910618622448979,0.10667399197942963,0.5874496899382358,0.02,3,logreg,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7491183035714286,0.06840649356026705,0.5,0.02,3,rf,default
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.7301690051020409,0.05355891445884836,0.5,0.02,3,rf,weight
2773,1147,26,54,0.70675,0.675,0.7073979591836734,0.6911989795918367,0.044962531223980015,0.08430913348946135,0.7490082908163265,0.05561723132740086,0.5,0.02,3,rf,undersample
3902,18,79,1,0.97575,0.0125,0.9954081632653061,0.5039540816326531,0.05263157894736842,0.020202020202020204,0.7461734693877551,0.059698884651207554,0.5,0.02,3,rf,smote
3028,892,28,52,0.77,0.65,0.7724489795918368,0.7112244897959183,0.05508474576271186,0.1015625,0.7491183035714286,0.06840649356026705,0.02666666666666667,0.02,3,rf,threshold
2898,1022,27,53,0.73775,0.6625,0.7392857142857143,0.7008928571428572,0.04930232558139535,0.09177489177489177,0.7301690051020409,0.05355891445884836,0.02,0.02,3,rf,weight+threshold
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.7504177295918368,0.059346227671798556,0.5,0.02,3,hgb,default
3371,549,46,34,0.85125,0.425,0.8599489795918367,0.6424744897959184,0.058319039451114926,0.10256410256410256,0.742436224489796,0.0538572146124155,0.5,0.02,3,hgb,weight
2716,1204,28,52,0.692,0.65,0.6928571428571428,0.6714285714285715,0.041401273885350316,0.07784431137724551,0.7085028698979592,0.0632731514643353,0.5,0.02,3,hgb,undersample
3898,22,78,2,0.975,0.025,0.9943877551020408,0.5096938775510204,0.08333333333333333,0.03846153846153846,0.7507366071428572,0.05410194654549009,0.5,0.02,3,hgb,smote
2754,1166,27,53,0.70175,0.6625,0.7025510204081633,0.6825255102040817,0.043478260869565216,0.08160123171670515,0.7504177295918368,0.059346227671798556,0.013284612270603027,0.02,3,hgb,threshold
